GroupId,Value,Year
179,0,2036
179,0,2037
179,0,2038
179,0,2039
179,0,2040
179,0,2041
179,0,2042
179,0,2043
179,0,2044
179,0,2045
18,0.4,2018
18,0.345595,2019
18,0.31825,2020
18,0.277842,2021
18,0.255767,2022
18,0.209498,2023
18,0.149297,2024
18,0.081032,2025
18,0,2026
18,0,2027
18,0,2028
18,0,2029
18,0,2030
18,0,2031
18,0,2032
18,0,2033
18,0,2034
18,0,2035
18,0,2036
18,0,2037
18,0,2038
18,0,2039
18,0,2040
18,0,2041
18,0,2042
18,0,2043
18,0,2044
18,0,2045
180,0.75,2018
180,0.357644,2019
180,0.160441,2020
180,0,2021
180,0,2022
180,0,2023
180,0,2024
180,0,2025
180,0,2026
180,0,2027
180,0,2028
180,0,2029
180,0,2030
180,0,2031
180,0,2032
180,0,2033
180,0,2034
180,0,2035
180,0,2036
180,0,2037
180,0,2038
180,0,2039
180,0,2040
180,0,2041
180,0,2042
180,0,2043
180,0,2044
180,0,2045
164,0.75,2018
164,0.541978,2019
164,0.437423,2020
164,0.282917,2021
164,0.198514,2022
164,0.0216,2023
164,0,2024
164,0,2025
164,0,2026
164,0,2027
164,0,2028
164,0,2029
164,0,2030
164,0,2031
164,0,2032
164,0,2033
164,0,2034
164,0,2035
164,0,2036
164,0,2037
164,0,2038
164,0,2039
164,0,2040
164,0,2041
164,0,2042
164,0,2043
164,0,2044
164,0,2045
17,0.4,2018
17,0.253993,2019
17,0.180607,2020
17,0.072162,2021
17,0.012921,2022
17,0,2023
17,0,2024
17,0,2025
17,0,2026
17,0,2027
17,0,2028
17,0,2029
17,0,2030
17,0,2031
17,0,2032
17,0,2033
17,0,2034
17,0,2035
17,0,2036
17,0,2037
17,0,2038
17,0,2039
17,0,2040
17,0,2041
17,0,2042
17,0,2043
17,0,2044
17,0,2045
182,0.75,2018
182,0.662387,2019
182,0.618351,2020
182,0.553277,2021
182,0.517729,2022
182,0.443217,2023
182,0.34627,2024
182,0.236337,2025
182,0.104582,2026
182,0,2027
182,0,2028
182,0,2029
182,0,2030
182,0,2031
182,0,2032
182,0,2033
182,0,2034
182,0,2035
182,0,2036
182,0,2037
182,0,2038
182,0,2039
182,0,2040
182,0,2041
182,0,2042
182,0,2043
182,0,2044
182,0,2045
183,0.75,2018
183,0.64446,2019
183,0.591414,2020
183,0.513025,2021
183,0.470203,2022
183,0.380446,2023
183,0.263661,2024
183,0.131234,2025
183,0,2026
183,0,2027
183,0,2028
183,0,2029
